cell_id,POS,unimorph
ARGNO3.ARGNOPL.ARGAC2.ARGACSG.present-indicative,V,ARGNO3P;ARGAC2S;IND;PRS
ARGNO1.ARGNOSG.ARGAC3.ARGACSG.present-indicative,V,ARGNO1S;ARGAC3S;IND;PRS
ARGNO2.ARGNOSG.ARGAC3.ARGACSG.present-indicative,V,ARGNO2S;ARGAC3S;IND;PRS
ARGNO3.ARGNOSG.ARGAC3.ARGACSG.present-indicative,V,ARGNO3S;ARGAC3S;IND;PRS
ARGNO1.ARGNOPL.ARGAC3.ARGACSG.present-indicative,V,ARGNO1P;ARGAC3S;IND;PRS
ARGNO2.ARGNOPL.ARGAC3.ARGACSG.present-indicative,V,ARGNO2P;ARGAC3S;IND;PRS
ARGNO3.ARGNOPL.ARGAC3.ARGACSG.present-indicative,V,ARGNO3P;ARGAC3S;IND;PRS
ARGNO2.ARGNOSG.ARGAC1.ARGACPL.present-indicative,V,ARGNO2S;ARGAC1P;IND;PRS
ARGNO3.ARGNOSG.ARGAC1.ARGACPL.present-indicative,V,ARGNO3S;ARGAC1P;IND;PRS
ARGNO2.ARGNOPL.ARGAC1.ARGACPL.present-indicative,V,ARGNO2P;ARGAC1P;IND;PRS
ARGNO3.ARGNOPL.ARGAC1.ARGACPL.present-indicative,V,ARGNO3P;ARGAC1P;IND;PRS
ARGNO1.ARGNOSG.ARGAC2.ARGACPL.present-indicative,V,ARGNO1S;ARGAC2P;IND;PRS
ARGNO3.ARGNOSG.ARGAC2.ARGACPL.present-indicative,V,ARGNO3S;ARGAC2P;IND;PRS
ARGNO1.ARGNOPL.ARGAC2.ARGACPL.present-indicative,V,ARGNO1P;ARGAC2P;IND;PRS
ARGNO3.ARGNOPL.ARGAC2.ARGACPL.present-indicative,V,ARGNO3P;ARGAC2P;IND;PRS
ARGNO1.ARGNOSG.ARGAC3.ARGACPL.present-indicative,V,ARGNO1S;ARGAC3P;IND;PRS
ARGNO2.ARGNOSG.ARGAC3.ARGACPL.present-indicative,V,ARGNO2S;ARGAC3P;IND;PRS
ARGNO3.ARGNOSG.ARGAC3.ARGACPL.present-indicative,V,ARGNO3S;ARGAC3P;IND;PRS
ARGNO1.ARGNOPL.ARGAC3.ARGACPL.present-indicative,V,ARGNO1P;ARGAC3P;IND;PRS
ARGNO2.ARGNOPL.ARGAC3.ARGACPL.present-indicative,V,ARGNO2P;ARGAC3P;IND;PRS
ARGNO3.ARGNOPL.ARGAC3.ARGACPL.present-indicative,V,ARGNO3P;ARGAC3P;IND;PRS
ARGNO2.ARGNOSG.ARGAC1.ARGACSG.IND.IPFV,V,ARGNO2S;ARGAC1S;IND;IPFV
ARGNO3.ARGNOSG.ARGAC1.ARGACSG.IND.IPFV,V,ARGNO3S;ARGAC1S;IND;IPFV
ARGNO2.ARGNOPL.ARGAC1.ARGACSG.IND.IPFV,V,ARGNO2P;ARGAC1S;IND;IPFV
ARGNO3.ARGNOPL.ARGAC1.ARGACSG.IND.IPFV,V,ARGNO3P;ARGAC1S;IND;IPFV
ARGNO1.ARGNOSG.ARGAC2.ARGACSG.IND.IPFV,V,ARGNO1S;ARGAC2S;IND;IPFV
ARGNO3.ARGNOSG.ARGAC2.ARGACSG.IND.IPFV,V,ARGNO3S;ARGAC2S;IND;IPFV
ARGNO1.ARGNOPL.ARGAC2.ARGACSG.IND.IPFV,V,ARGNO1P;ARGAC2S;IND;IPFV
ARGNO3.ARGNOPL.ARGAC2.ARGACSG.IND.IPFV,V,ARGNO3P;ARGAC2S;IND;IPFV
ARGNO1.ARGNOSG.ARGAC3.ARGACSG.IND.IPFV,V,ARGNO1S;ARGAC3S;IND;IPFV
ARGNO2.ARGNOSG.ARGAC3.ARGACSG.IND.IPFV,V,ARGNO2S;ARGAC3S;IND;IPFV
ARGNO3.ARGNOSG.ARGAC3.ARGACSG.IND.IPFV,V,ARGNO3S;ARGAC3S;IND;IPFV
ARGNO1.ARGNOPL.ARGAC3.ARGACSG.IND.IPFV,V,ARGNO1P;ARGAC3S;IND;IPFV
ARGNO2.ARGNOPL.ARGAC3.ARGACSG.IND.IPFV,V,ARGNO2P;ARGAC3S;IND;IPFV
ARGNO3.ARGNOPL.ARGAC3.ARGACSG.IND.IPFV,V,ARGNO3P;ARGAC3S;IND;IPFV
ARGNO2.ARGNOSG.ARGAC1.ARGACPL.IND.IPFV,V,ARGNO2S;ARGAC1P;IND;IPFV
ARGNO3.ARGNOSG.ARGAC1.ARGACPL.IND.IPFV,V,ARGNO3S;ARGAC1P;IND;IPFV
ARGNO2.ARGNOPL.ARGAC1.ARGACPL.IND.IPFV,V,ARGNO2P;ARGAC1P;IND;IPFV
ARGNO3.ARGNOPL.ARGAC1.ARGACPL.IND.IPFV,V,ARGNO3P;ARGAC1P;IND;IPFV
ARGNO1.ARGNOSG.ARGAC2.ARGACPL.IND.IPFV,V,ARGNO1S;ARGAC2P;IND;IPFV
ARGNO3.ARGNOSG.ARGAC2.ARGACPL.IND.IPFV,V,ARGNO3S;ARGAC2P;IND;IPFV
ARGNO1.ARGNOPL.ARGAC2.ARGACPL.IND.IPFV,V,ARGNO1P;ARGAC2P;IND;IPFV
ARGNO3.ARGNOPL.ARGAC2.ARGACPL.IND.IPFV,V,ARGNO3P;ARGAC2P;IND;IPFV
ARGNO1.ARGNOSG.ARGAC3.ARGACPL.IND.IPFV,V,ARGNO1S;ARGAC3P;IND;IPFV
ARGNO2.ARGNOSG.ARGAC3.ARGACPL.IND.IPFV,V,ARGNO2S;ARGAC3P;IND;IPFV
